2023 Rank,Municipality,Designation,Primary County,2023 Estimate,2020 Census
317.0,Willow Park,City,Parker,4936.0,3432.0
318.0,Carthage,City,Panola,6569.0,49.0
319.0,Iowa Park,City,Wichita,6535.0,66.0
320.0,Krum,City,Denton,5483.0,1942.0
321.0,Hempstead,City,Waller,5430.0,2039.0
322.0,Bridgeport,City,Wise,5923.0,998.0
323.0,Mabank,Town,Kaufman,4050.0,5793.0
324.0,Wilmer,City,Dallas,4974.0,2837.0
325.0,Oak Point,City,Denton,4357.0,4613.0
326.0,Peñitas,City,Hidalgo,6460.0,200.0
327.0,Aledo,City,Parker,4858.0,2942.0
328.0,Crockett,City,Houston,6332.0,73.0
329.0,Gladewater,City,Gregg,6134.0,225.0
330.0,Alvarado,City,Johnson,4739.0,3136.0
331.0,White Oak,City,Gregg,6225.0,6.0
332.0,Parker,City,Collin,5462.0,1337.0
333.0,Hutchins,City,Dallas,5607.0,967.0
334.0,Crystal City,City,Zavala,6354.0,401.0
335.0,Alpine,City,Brewster,6035.0,7.0
336.0,Edna,City,Jackson,5987.0,42.0
337.0,McGregor,City,McLennan,5321.0,1237.0
338.0,Bowie,City,Montague,5448.0,947.0
339.0,Kermit,City,Winkler,6267.0,503.0
340.0,Everman,City,Tarrant,6154.0,346.0
341.0,Justin,City,Denton,4409.0,3364.0
342.0,Pilot Point,City,Denton,4381.0,3431.0
343.0,Yoakum,City,Lavaca,5908.0,78.0
344.0,Argyle,City,Denton,4403.0,3307.0
345.0,Wake Village,City,Bowie,5945.0,230.0
346.0,Childress,City,Childress,5737.0,58.0
347.0,Littlefield,City,Lamb,5943.0,294.0
348.0,Windcrest,City,Bexar,5865.0,181.0
349.0,Luling,City,Caldwell,5599.0,277.0
350.0,Livingston,Town,Polk,5640.0,190.0
351.0,Elsa,City,Hidalgo,5668.0,44.0
352.0,Hickory Creek,Town,Denton,4718.0,2056.0
353.0,Slaton,City,Lubbock,5858.0,297.0
354.0,Brookshire,City,Waller,5066.0,1186.0
355.0,Rockdale,City,Milam,5323.0,498.0
356.0,Marlin,City,Falls,5462.0,185.0
357.0,Sinton,City,San Patricio,5504.0,85.0
358.0,Cameron,City,Milam,5306.0,386.0
359.0,Sandy Oaks,City,Bexar,5075.0,798.0
360.0,Granite Shoals,City,Burnet,5129.0,628.0
361.0,Atlanta,City,Cass,5433.0,22.0
362.0,Primera,Town,Cameron,5257.0,217.0
363.0,Rusk,City,Cherokee,5285.0,146.0
364.0,Sansom Park,City,Tarrant,5454.0,240.0
365.0,Magnolia,City,Montgomery,2359.0,12552.0
366.0,Giddings,City,Lee,4969.0,574.0
367.0,Hudson,City,Angelina,4849.0,730.0
368.0,Center,City,Shelby,5221.0,111.0
369.0,Breckenridge,City,Stephens,5187.0,91.0
370.0,Mineola,City,Wood,4823.0,614.0
371.0,Port Isabel,City,Cameron,5028.0,179.0
372.0,Nassau Bay,City,Harris,5347.0,438.0
373.0,Gilmer,City,Upshur,4843.0,531.0
374.0,Horseshoe Bay,City,Burnet,4257.0,1893.0
375.0,Terrell Hills,City,Bexar,5045.0,28.0
376.0,Progreso,City,Hidalgo,4807.0,478.0
377.0,Crandall,City,Kaufman,3860.0,2940.0
378.0,Muleshoe,City,Bailey,5160.0,368.0
379.0,Brady,City,McCulloch,5118.0,299.0
380.0,McLendon-Chisholm,City,Rockwall,3562.0,3908.0
381.0,La Joya,City,Hidalgo,4457.0,911.0
382.0,Bullard,Town,Smith,3318.0,4611.0
383.0,Hallsville,City,Harrison,4277.0,1251.0
384.0,Richwood,City,Brazoria,4781.0,17.0
385.0,Morgan's Point Resort,City,Bell,4636.0,291.0
386.0,Canton,City,Van Zandt,4229.0,1194.0
387.0,Ovilla,City,Ellis,4304.0,941.0
388.0,Carrizo Springs,City,Dimmit,4892.0,540.0
389.0,Lake Worth,City,Tarrant,4711.0,202.0
390.0,Madisonville,City,Madison,4420.0,412.0
391.0,Meadows Place,City,Fort Bend,4767.0,359.0
392.0,Devine,City,Medina,4324.0,592.0
393.0,Caldwell,City,Burleson,3993.0,1468.0
394.0,Diboll,City,Angelina,4457.0,211.0
395.0,New Boston,City,Bowie,4612.0,139.0
396.0,La Grange,City,Fayette,4391.0,342.0
397.0,Hearne,City,Robertson,4544.0,20.0
